required_skills,member_name,member_skills,workload,skill_match_count,skill_level_sum,assigned_member
React|Node,robin,React|Node|MongoDB,2,2,20,robin
React|Node,john,React|HTML,5,1,10,robin
Python,alice,Python|ML|Data,3,1,10,alice
Python,robin,React|Node,2,0,0,alice
Java,sai,Java|Spring|SQL,1,1,10,sai
Java,john,Python|React,4,0,0,sai
MongoDB,robin,React|MongoDB,2,1,10,robin
MongoDB,alice,Python|ML,3,0,0,robin
React|MongoDB,robin,React|MongoDB|Node,1,2,20,robin
React|MongoDB,john,React,4,1,10,robin
Node,sai,Node|Express|MongoDB,2,1,10,sai
Node,alice,Python|Flask,3,0,0,sai
Python|ML,alice,Python|ML|Data,2,2,20,alice
Python|ML,john,Python,5,1,10,alice
Java|SQL,sai,Java|SQL|Spring,1,2,20,sai
Java|SQL,robin,React|Node,3,0,0,sai
React|CSS,john,React|CSS|HTML,2,2,20,john
React|CSS,alice,Python|ML,4,0,0,john
Node|MongoDB,robin,Node|MongoDB|Express,2,2,20,robin
Node|MongoDB,sai,Java|Spring,3,0,0,robin
Python|Data,alice,Python|Data|ML,1,2,20,alice
Python|Data,robin,React|Node,4,0,0,alice
Java|Spring,sai,Java|Spring|SQL,1,2,20,sai
Java|Spring,john,React|HTML,5,0,0,sai
React|Node|MongoDB,robin,React|Node|MongoDB,2,3,30,robin
React|Node|MongoDB,john,React|Node,4,2,20,robin
Python|ML|Data,alice,Python|ML|Data,1,3,30,alice
Python|ML|Data,sai,Java|SQL,3,0,0,alice
Node|Express,robin,Node|Express|MongoDB,2,2,20,robin
Node|Express,john,React|CSS,5,0,0,robin
